EntrezA	EntrezB	Metabolite
593	10249	2mbcoa
1738	35	2mbcoa
593	35	2mbcoa
1738	34	2mbcoa
593	34	2mbcoa
1738	10249	2mbcoa
1629	34	2mbcoa
594	35	2mbcoa
1629	36	2mbcoa
594	34	2mbcoa
316	223	2mop
64902	224	2mop
11112	217	2mop
11112	4329	2mop
11112	501	2mop
316	219	2mop
64902	217	2mop
11112	224	2mop
64902	223	2mop
64902	501	2mop
11112	223	2mop
316	224	2mop
11112	18	2mop
64902	4329	2mop
64902	219	2mop
316	501	2mop
11112	219	2mop
316	217	2mop
64902	18	2mop
35	1892	2mp2coa
27034	3030	2mp2coa
35	3030	2mp2coa
27034	1962	2mp2coa
34	1962	2mp2coa
34	1892	2mp2coa
27034	3032	2mp2coa
34	3030	2mp2coa
34	3032	2mp2coa
27034	1892	2mp2coa
35	3032	2mp2coa
35	1962	2mp2coa
641649	1629	2mpdhl
594	1629	2mpdhl
593	1629	2mpdhl
10455	3295	2octdectecoa
1632	3032	2octdectecoa
1632	3030	2octdectecoa
10455	30	2octdectecoa
1632	3032	2octpencoa
1632	3030	2octpencoa
1632	37	2octpencoa
89874	4967	2oxoadp
89874	1743	2oxoadp
51166	8050	2oxoadp
51166	1743	2oxoadp
51166	1738	2oxoadp
89874	8050	2oxoadp
89874	1738	2oxoadp
51166	4967	2oxoadp
51166	89874	2oxoadp
4129	125	34dhmald
4128	131	34dhmald
4129	222	34dhmald
4128	220	34dhmald
4129	127	34dhmald
4129	131	34dhmald
4129	218	34dhmald
4129	221	34dhmald
4129	137872	34dhmald
4129	126	34dhmald
4128	126	34dhmald
4129	220	34dhmald
4129	130	34dhmald
4128	218	34dhmald
4128	130	34dhmald
4128	125	34dhmald
4128	137872	34dhmald
4128	127	34dhmald
4128	124	34dhmald
4128	221	34dhmald
4128	222	34dhmald
4129	124	34dhmald
4129	128	34dhmald
4128	128	34dhmald
221	9356	34dhoxmand
222	9376	34dhoxmand
221	9376	34dhoxmand
220	9376	34dhoxmand
220	1312	34dhoxmand
222	220074	34dhoxmand
218	1312	34dhoxmand
221	220074	34dhoxmand
218	220074	34dhoxmand
221	1312	34dhoxmand
220	9356	34dhoxmand
222	9356	34dhoxmand
218	9356	34dhoxmand
220	220074	34dhoxmand
222	1312	34dhoxmand
218	9376	34dhoxmand
125	220074	34dhoxpeg
126	1312	34dhoxpeg
124	1312	34dhoxpeg
126	220074	34dhoxpeg
137872	1312	34dhoxpeg
131	220074	34dhoxpeg
128	1312	34dhoxpeg
131	1312	34dhoxpeg
128	220074	34dhoxpeg
127	1312	34dhoxpeg
137872	220074	34dhoxpeg
125	1312	34dhoxpeg
130	220074	34dhoxpeg
124	220074	34dhoxpeg
127	220074	34dhoxpeg
130	1312	34dhoxpeg
314	221	34dhpac
8639	220	34dhpac
26	220	34dhpac
314	10327	34dhpac
26	221	34dhpac
4128	222	34dhpac
26	10327	34dhpac
26	222	34dhpac
8639	10327	34dhpac
314	220	34dhpac
4128	221	34dhpac
4129	10327	34dhpac
8639	222	34dhpac
4128	218	34dhpac
314	218	34dhpac
4128	10327	34dhpac
4129	220	34dhpac
8639	218	34dhpac
4129	222	34dhpac
4128	220	34dhpac
4129	218	34dhpac
26	218	34dhpac
314	222	34dhpac
8639	221	34dhpac
4129	221	34dhpac
218	9356	34dhpha
220	9356	34dhpha
221	9376	34dhpha
221	9356	34dhpha
221	1312	34dhpha
222	9376	34dhpha
218	1312	34dhpha
222	9356	34dhpha
220	9376	34dhpha
222	1312	34dhpha
220	1312	34dhpha
218	9376	34dhpha
7299	1644	34dhphe
8140	1644	34dhphe
7054	1644	34dhphe
6520	1644	34dhphe
117247	1644	34dhphe
6898	3242	34hpp
6898	4282	34hpp
2805	4282	34hpp
259307	3242	34hpp
259307	4282	34hpp
2805	3242	34hpp
3000	8654	35cgmp
3000	10846	35cgmp
2984	5146	35cgmp
2974	5149	35cgmp
2986	85320	35cgmp
2983	5138	35cgmp
4881	5146	35cgmp
3000	50940	35cgmp
2977	5149	35cgmp
4881	85320	35cgmp
4882	5139	35cgmp
2974	5146	35cgmp
2986	5137	35cgmp
4882	10846	35cgmp
2977	10257	35cgmp
2986	5139	35cgmp
2982	50940	35cgmp
2986	50940	35cgmp
2983	5139	35cgmp
2984	5136	35cgmp
4881	5152	35cgmp
2983	5140	35cgmp
2974	5153	35cgmp
2983	10257	35cgmp
2982	5147	35cgmp
4882	5140	35cgmp
2983	50940	35cgmp
2982	5138	35cgmp
2986	5140	35cgmp
4881	50940	35cgmp
3000	5139	35cgmp
2974	5138	35cgmp
2984	5152	35cgmp
2982	85320	35cgmp
2974	5140	35cgmp
2983	5148	35cgmp
4882	5146	35cgmp
2986	5138	35cgmp
2986	5136	35cgmp
2982	5153	35cgmp
2983	10846	35cgmp
4881	8654	35cgmp
2974	10257	35cgmp
3000	5147	35cgmp
2984	5147	35cgmp
2974	50940	35cgmp
2984	10846	35cgmp
2974	8654	35cgmp
4881	5145	35cgmp
2984	8654	35cgmp
4881	5153	35cgmp
2986	5153	35cgmp
2984	85320	35cgmp
4882	5153	35cgmp
3000	5153	35cgmp
2974	5152	35cgmp
2982	5152	35cgmp
2982	10846	35cgmp
2977	10057	35cgmp
2977	5145	35cgmp
2984	5139	35cgmp
2974	5136	35cgmp
2986	5152	35cgmp
2986	5149	35cgmp
2977	5158	35cgmp
2986	8654	35cgmp
4881	5138	35cgmp
2982	10257	35cgmp
4882	10057	35cgmp
2974	5158	35cgmp
2977	5152	35cgmp
4882	5136	35cgmp
2977	5147	35cgmp
3000	5149	35cgmp
4882	5149	35cgmp
2977	85320	35cgmp
2974	5148	35cgmp
2986	10057	35cgmp
2984	5158	35cgmp
2974	5145	35cgmp
2983	5153	35cgmp
2984	5149	35cgmp
4881	10257	35cgmp
3000	10057	35cgmp
3000	5152	35cgmp
2983	10057	35cgmp
4882	5158	35cgmp
2974	5139	35cgmp
2982	5136	35cgmp
2977	5146	35cgmp
2986	5146	35cgmp
2983	8654	35cgmp
2982	5146	35cgmp
4882	10257	35cgmp
4881	5148	35cgmp
4882	50940	35cgmp
2977	50940	35cgmp
4881	5137	35cgmp
2977	5153	35cgmp
2984	5138	35cgmp
2977	5136	35cgmp
2982	5139	35cgmp
4882	5145	35cgmp
4881	10846	35cgmp
2982	5137	35cgmp
4881	5147	35cgmp
2982	5140	35cgmp
2974	5147	35cgmp
4881	5158	35cgmp
2983	5152	35cgmp
2977	5140	35cgmp
4881	5136	35cgmp
2977	5138	35cgmp
2984	5145	35cgmp
4881	5149	35cgmp
2983	85320	35cgmp
3000	5138	35cgmp
4882	5138	35cgmp
3000	5158	35cgmp
2986	5148	35cgmp
2986	5158	35cgmp
2984	50940	35cgmp
2983	5137	35cgmp
3000	5148	35cgmp
2983	5146	35cgmp
2983	5145	35cgmp
4882	8654	35cgmp
2977	5139	35cgmp
2986	10846	35cgmp
4881	5140	35cgmp
4882	85320	35cgmp
2984	5137	35cgmp
3000	10257	35cgmp
2982	5148	35cgmp
3000	5137	35cgmp
4881	5139	35cgmp
2977	8654	35cgmp
2982	5149	35cgmp
2982	10057	35cgmp
2986	5147	35cgmp
4882	5152	35cgmp
2982	5145	35cgmp
2986	5145	35cgmp
2984	5140	35cgmp
4882	5137	35cgmp
4881	10057	35cgmp
2974	85320	35cgmp
2982	8654	35cgmp
2974	5137	35cgmp
2986	10257	35cgmp
2974	10846	35cgmp
3000	85320	35cgmp
2984	5153	35cgmp
2974	10057	35cgmp
3000	5146	35cgmp
2984	5148	35cgmp
2977	5137	35cgmp
2983	5147	35cgmp
4882	5148	35cgmp
4882	5147	35cgmp
2984	10057	35cgmp
3000	5145	35cgmp
2983	5136	35cgmp
2983	5158	35cgmp
2982	5158	35cgmp
2984	10257	35cgmp
3000	5140	35cgmp
2977	5148	35cgmp
2983	5149	35cgmp
3000	5136	35cgmp
2977	10846	35cgmp
3032	1632	3ddecdicoa
37	1632	3ddecdicoa
51	10455	3ddecdicoa
3030	1632	3ddecdicoa
3295	10455	3ddecdicoa
